"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
8.19728469913738e-05,0.477821086605432,0.128,0.082,1,"4","AC016831.7"
8.20973166511039e-05,1.9309876622092,0.036,0.015,1,"4","C1S"
8.24335960984553e-05,1.02103812831006,0.095,0.056,1,"4","OBSL1"
8.28533701564648e-05,1.76096289049551,0.03,0.011,1,"4","AC090197.1"
8.29482333290187e-05,0.288448656211832,0.526,0.459,1,"4","ACADM"
8.37108308530465e-05,1.32812186222246,0.057,0.028,1,"4","TNFRSF6B"
8.4125474231709e-05,1.71294516340571,0.026,0.009,1,"4","AC117503.5"
8.42649458360524e-05,0.355133699401981,0.493,0.432,1,"4","MRPL46"
8.71449957370098e-05,0.324931507603256,0.469,0.405,1,"4","MAN2B1"
8.84379913291588e-05,0.236923989619038,0.347,0.272,1,"4","SEMA7A"
8.99048129484754e-05,0.69700435353065,0.207,0.153,1,"4","FBXL12"
9.46618138066369e-05,0.112027577997935,0.556,0.464,1,"4","SPEN"
9.48313952027016e-05,1.27139315038378,0.09,0.053,1,"4","THBD"
9.57170874234208e-05,0.57792552282619,0.125,0.08,1,"4","AC079305.3"
9.635158143612e-05,0.168554649549738,0.623,0.53,1,"4","ARFGAP3"
9.88268741161729e-05,0.741686654467795,0.181,0.129,1,"4","DENND6B"
9.95650185668278e-05,1.56596087863909,0.035,0.014,1,"4","AC022868.2"
9.96863699354603e-05,1.96084196863551,0.03,0.011,1,"4","ADAP2"
9.98450807837607e-05,0.239902129097069,0.484,0.417,1,"4","ZC3H7A"
0.000100257600764771,1.01542641183493,0.08,0.044,1,"4","METTL7A"
0.000101635326068065,0.172663520445668,0.767,0.659,1,"4","LSM6"
0.000102223990717611,0.131729593058535,0.851,0.75,1,"4","RSL24D1"
0.00010233222679418,0.138640039908688,0.832,0.74,1,"4","GSDMD"
0.000102382512795064,2.40801034200105,0.014,0.003,1,"4","AC022509.2"
0.000102690187429206,0.170424024098445,0.854,0.74,1,"4","COMT"
0.000105429244617724,1.87071345271269,0.028,0.01,1,"4","AC087645.2"
0.000105830946774766,1.79570109699262,0.03,0.011,1,"4","SLC52A3"
0.000105875013557464,0.680156209735981,0.153,0.104,1,"4","PLA2G4C"
0.000105910965297395,1.14504720535715,0.069,0.037,1,"4","SPRED1"
0.000106226798960616,0.721223626564978,0.184,0.133,1,"4","NIPA1"
0.000107541733310871,0.232134183581863,0.443,0.371,1,"4","MAPKAP1"
0.000107779014654867,0.688635233332621,0.172,0.121,1,"4","HYMAI"
0.000108285288482922,0.160976181661634,0.483,0.417,1,"4","MFSD12"
0.000108535174608145,0.715516646483642,0.049,0.023,1,"4","CNKSR3"
0.000108538699061638,0.938156692590608,0.122,0.079,1,"4","PNPLA4"
0.000110602092774096,0.347699780374771,0.424,0.357,1,"4","FKBP2"
0.000111840499399477,0.535423620255023,0.236,0.181,1,"4","PPARA"
0.000112449545337063,0.148997024815037,0.917,0.842,1,"4","CAPZB"
0.000112527757541819,0.530017745414198,0.163,0.111,1,"4","TGFB1I1"
0.000114179368097391,0.705469595641685,0.191,0.141,1,"4","H2AFY2"
0.000116367776309439,0.800547652428296,0.149,0.102,1,"4","SORBS3"
0.000117281535354214,0.103613213465801,0.936,0.885,1,"4","SNHG6"
0.000117658145312456,0.405783963726111,0.312,0.253,1,"4","FOXO3"
0.00011876799471785,3.24530875328748,0.01,0.002,1,"4","AC023202.1"
0.000120303441139347,2.400113079076,0.012,0.003,1,"4","AC104365.3"
0.000121056381671593,2.43716718642366,0.012,0.003,1,"4","AL355075.1"
0.00012131464595877,0.215705395954269,0.599,0.526,1,"4","DDX52"
0.000121413936320598,2.68532509018005,0.017,0.005,1,"4","AP000769.6"
0.000121897732292324,1.96841230077212,0.03,0.011,1,"4","AP001341.1"
0.000123067105799407,2.27997756533619,0.017,0.005,1,"4","COL1A1"
0.000124530461106751,1.06326011539954,0.076,0.043,1,"4","AC130895.1"
0.000124827009969615,0.948601091295739,0.109,0.068,1,"4","AF064858.1"
0.00012640177821615,1.47919751065006,0.057,0.029,1,"4","SAMD4A"
0.000128500989049458,1.41961542509337,0.017,0.005,1,"4","TTC39A-AS1"
0.000129282507172466,0.148589029172974,0.738,0.666,1,"4","RAB14"
0.000129703528126163,0.178404735974269,0.655,0.563,1,"4","ELOVL5"
0.000129884047355089,0.499965930419341,0.188,0.135,1,"4","SAMD8"
0.000134010192629646,0.72854117503524,0.108,0.067,1,"4","AC097634.1"
0.000135806834194285,0.109385175333197,0.865,0.762,1,"4","TANK"
0.000136666085576628,1.18899577308871,0.057,0.029,1,"4","UNC13B"
0.000137158012883399,0.418140080899919,0.198,0.146,1,"4","AL355075.4"
0.000137207525153134,0.878674928326308,0.167,0.119,1,"4","MVK"
0.000137274975524911,0.293382047140938,0.432,0.365,1,"4","DEF8"
0.000140175147993556,0.169759741468347,0.674,0.584,1,"4","SREK1IP1"
0.000140672504849844,1.66563542387619,0.035,0.014,1,"4","TMPRSS13"
0.000145156490957457,2.14736791499941,0.042,0.019,1,"4","IDO2"
0.000145646508164182,0.117319044276092,0.542,0.456,1,"4","NUTM2A-AS1"
0.000145900869967156,2.11331687455033,0.021,0.006,1,"4","SELENOP"
0.000147160900284322,0.310713038698169,0.344,0.28,1,"4","GEMIN7"
0.000147747752276804,0.998046636049112,0.071,0.039,1,"4","STAC3"
0.000152689001166533,0.646533548574198,0.158,0.109,1,"4","ZNF600"
0.000156811547446578,0.265202758714753,0.681,0.599,1,"4","TFRC"
0.000159245081908732,0.171505339907053,0.653,0.567,1,"4","GTF2H5"
0.000159989827519848,0.476459809026599,0.302,0.245,1,"4","OAZ2"
0.0001601274972543,0.725399069550825,0.113,0.071,1,"4","AC083837.1"
0.000161336454004511,2.67309649104497,0.019,0.006,1,"4","PTHLH"
0.00016533116518482,0.908554785881211,0.073,0.041,1,"4","AC104695.4"
0.000165447414657809,2.56847113115106,0.019,0.006,1,"4","REPS2"
0.00016570009301421,0.285101097188637,0.451,0.38,1,"4","CD2AP"
0.000165752053859603,2.348447349228,0.019,0.006,1,"4","TM4SF1-AS1"
0.000167967453506234,0.844905070953323,0.116,0.075,1,"4","LOXL1-AS1"
0.000168247381878257,0.179644636564997,0.722,0.631,1,"4","PPP1CB"
0.000168482303404736,1.31637988419503,0.054,0.027,1,"4","KLF4"
0.000169812268283594,0.268238390498491,0.307,0.245,1,"4","CLCN3"
0.000171351340128538,0.826547155372794,0.141,0.096,1,"4","GGT5"
0.000178933445576693,0.172805555507385,0.448,0.379,1,"4","TSPYL1"
0.000179075766917769,0.147838529782316,0.628,0.558,1,"4","SLU7"
0.000182277534187542,0.181435559863812,0.74,0.666,1,"4","RAB5C"
0.000182575655095134,0.791549629422827,0.172,0.124,1,"4","SNX8"
0.000185093979528312,0.515005744584246,0.226,0.174,1,"4","MED14"
0.000185401628979209,0.530797946584558,0.229,0.176,1,"4","MCCC1"
0.000187222355677499,0.169544009294448,0.877,0.801,1,"4","ROMO1"
0.000187885374114154,0.183798917395358,0.547,0.466,1,"4","RANBP2"
0.000189017336581727,0.978106339717883,0.017,0.005,1,"4","GSN-AS1"
0.000190473321536082,0.111607352485893,0.984,0.936,1,"4","SUMO2"
0.000191623148112712,0.232884766059425,0.472,0.406,1,"4","CASP7"
0.000191937395935679,0.71374994441868,0.09,0.053,1,"4","ANKRD42"
0.000198107064380133,0.278203840923228,0.422,0.36,1,"4","TIMM10B"
0.000198260594909736,1.09471181919388,0.089,0.053,1,"4","ECM1"
0.000200006844431163,0.192006846430486,0.736,0.656,1,"4","HMGN3"
0.000203409035234091,0.319190641147205,0.34,0.281,1,"4","ECE1"
0.000203473324229187,0.332736438300103,0.377,0.314,1,"4","MGRN1"
0.000204427372303551,0.789675747860517,0.148,0.102,1,"4","BMP1"
0.000205036002081008,1.0655746622839,0.132,0.089,1,"4","NR6A1"
0.00020511611833459,1.40567297690128,0.066,0.036,1,"4","UACA"
0.000206325289330492,0.209249930318763,0.523,0.457,1,"4","STX17"
0.000211049613826341,0.814830155122774,0.108,0.068,1,"4","C19orf33"
0.000212882399005681,0.961545420400174,0.104,0.065,1,"4","SERPINA1"
0.000213180366259833,2.50185285763699,0.012,0.003,1,"4","AL035446.1"
0.000214590922851778,0.801510655920912,0.168,0.121,1,"4","SLC25A43"
0.000215067415436675,1.57981082405492,0.038,0.017,1,"4","CREB5"
0.000216415173525511,1.00792801813746,0.064,0.035,1,"4","PTPDC1"
0.000217764074706784,0.240999537108678,0.564,0.498,1,"4","PDHA1"
0.000220131335928531,1.0994313724337,0.033,0.013,1,"4","LINC01220"
0.000220249533473701,0.31289808589788,0.422,0.357,1,"4","DTNBP1"
0.000220789341166256,0.190155302026455,0.594,0.51,1,"4","ETHE1"
0.00022297775326646,1.58557632291652,0.031,0.012,1,"4","GATD3A"
0.000223064588885861,0.592568920230512,0.139,0.092,1,"4","AC044893.1"
0.000226126241935839,0.795063302050629,0.115,0.073,1,"4","LINC02605"
0.000226302842239606,0.120928583004277,0.58,0.498,1,"4","PICALM"
0.000227079119365038,0.148811901300317,0.863,0.754,1,"4","IK"
0.000230044550638186,0.249326053992193,0.455,0.394,1,"4","HMG20B"
0.000234296373695173,0.309166765032276,0.446,0.384,1,"4","MED30"
0.000235385427442484,1.3118133869756,0.061,0.032,1,"4","TNKS1BP1"
0.000236600045868769,0.18799839338212,0.83,0.737,1,"4","RAB8A"
0.000237519431925791,2.54525328838219,0.01,0.002,1,"4","RIMBP3C"
0.000240414677055114,1.60815416726958,0.042,0.019,1,"4","ART3"
0.000240722931960778,1.76407366006435,0.019,0.006,1,"4","A4GALT"
0.000241427193195753,0.221155029000194,0.559,0.48,1,"4","CCDC82"
0.000243317376790834,0.856652815892233,0.109,0.07,1,"4","RXRA"
